imageName X Y Z Omega Phi Kappa
1.JPG -57.784294 14.680319 -63.885449 5.867616 -45.649581 -92.064195
2.JPG 19.378890 1.329873 -33.255884 6.658718 -2.741521 -64.045043
3.JPG 37.026388 2.841421 -36.211415 4.272316 1.727348 115.561957
4.JPG 52.629525 -33.940022 -22.168941 10.680827 13.271590 74.365911
5.JPG 41.143074 -49.908024 -32.285005 21.895012 9.789053 40.495564
6.JPG 29.078132 -55.398552 -35.194169 26.256495 4.861900 22.679837
7.JPG 23.159053 -55.506319 -38.111235 30.762401 0.705854 9.081511
8.JPG 2.065230 -37.656052 -59.418660 32.650654 -9.630711 -10.085104
9.JPG -13.918575 -47.253568 -28.759810 26.613075 -17.229785 -35.233819
10.JPG -18.262223 -22.238357 -25.541537 16.773185 -20.841219 -60.033505
11.JPG -26.771681 -4.122113 -25.060672 8.667839 -25.577362 -84.099246
13.JPG -38.897269 15.592021 -28.338463 1.124565 -31.273676 -101.423921
14.JPG -40.765353 42.575295 -30.265789 -9.902860 -32.087915 -121.678825
15.JPG 20.339897 86.190219 -12.945925 -27.928085 -7.257006 -176.012416
16.JPG 23.900172 127.283875 -69.995347 -54.905709 -9.325834 178.829800
17.JPG 39.375222 123.081406 -68.334194 -52.699724 11.332284 171.547168
22.JPG -26.178681 28.288482 -89.266382 -11.926342 -30.427330 -126.652914
24.JPG -27.402689 -22.856697 -62.810609 22.461931 -32.401078 -60.380045
25.JPG 14.704887 -89.022475 -56.929907 42.088816 -2.176965 2.690559
26.JPG 57.510541 -12.319268 -30.728980 2.634205 17.912708 100.117040
27.JPG 50.724098 86.196094 -22.694609 -29.064314 17.915857 152.160334
28.JPG 23.860866 131.317645 -55.945546 -49.249141 0.486758 173.406248
29.JPG -21.688828 -16.730954 -70.414076 24.290642 -30.933766 -56.795430
